Example_Number,SMILES,Chemical_Name,TR-FRET assay protocol,Ki_BDI_uM,Ki_BDII_uM,Cellular proliferation: EC50 (μM)
131,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)CCC(N4CCNCC4)=O)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-3-(3-oxo-3-(piperazin-1-yl)propyl)-3,4-dihydro-1H-1,4,10triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0107,0.00235,>1
132,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)CCC(=O)NC4CCNCC4)C(N(C=C3)C)=O)CS(=O)(=O)C,"3-(4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3-yl)-N-(piperidin-4-yl)propanamide",G,0.0113,0.00314,>1
133,C(C)(=O)OCC(CCC1CNC2=C3C1N(C=C3C=C(C3=C2C(N(C=C3)C)=O)CS(=O)(=O)C)C3=C(C=C(C=C3)F)F)OC(C)=O,"4-(4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3-yl)butane-1,2-diyl diacetate",G,0.00929,0.0014,0.204
134,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)CCCCC(=O)OC)C(N(C=C3)C)=O)CS(=O)(=O)C,"methyl 5-(4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,1 1-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3-yl)pentanoate",G,0.0144,0.00111,0.182
135,C(C)(C)(C)OC(NCC(=O)NCC1CNC2=C3C1N(C=C3C=C(C3=C2C(N(C=C3)C)=O)CS(=O)(=O)C)C3=C(C=C(C=C3)F)F)=O,"tert-butyl(2-(((4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3-yl)methyl)amino)-2-oxoethyl)carbamate",G,0.0114,0.00214,0.51
136,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)CCCCCCO)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-3-(6-hydroxyhexyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.0132,0.00133,0.0492
137,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)CNC(C4=CC=CC=C4)=O)C(N(C=C3)C)=O)CS(=O)(=O)C,"N-((4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3-yl)methyl)benzamide",G,0.0517,0.00387,0.24
138,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)CNC(=O)NC4=CC=CC=C4)C(N(C=C3)C)=O)CS(=O)(=O)C,"1-((4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3-yl)methyl)-3-phenylurea",G,0.0225,0.00194,0.256
139,NCC(=O)NCC1CNC2=C3C1N(C=C3C=C(C3=C2C(N(C=C3)C)=O)CS(=O)(=O)C)C3=C(C=C(C=C3)F)F,"2-amino-N-((4-(2,4-difluorophenyl)-10-methyl-7-((methylsulfonyl)methyl)-11-oxo-3,4,10,11-tetrahydro-1H-1,4,10-triazadibenzo[cd,f]azulen-3-yl)methyl)acetamide",G,0.0175,0.00233,0.627
140,FC1=C(C=CC(=C1)F)N1C=C2C=C(C3=C(C4=C2C1C(CN4)CCC(CO)O)C(N(C=C3)C)=O)CS(=O)(=O)C,"4-(2,4-difluorophenyl)-3-(3,4-dihydroxybutyl)-10-methyl-7-((methylsulfonyl)methyl)-3,4-dihydro-1H-1,4,10-triazadibenzo[cd,f]azulen-11(10H)-one",G,0.00999,0.00224,0.936
